Name	Type	Structure	Donor	Clonal lineage	Isolation paper(Pubmed ID)	Neutralizing antibody feature	Light chain type	# of viruses tested
1357	gp120 V2 // V2 glycan(V2g) // V2 apex		donor_uncoded_1		Nyambi1998(9765494) 			22
1361	gp120 V2 // V2 glycan(V2g) // V2 apex		donor_uncoded_1		Nyambi1998(9765494) 			41
1393A	gp120 V2 // V2 glycan(V2g) // V2 apex		donor_uncoded_1		Nyambi2000(10888650) 			41
13I10			Donor N152	35O22	Huang2014(25186731) 		L	8
15e	gp120 CD4BS		N70		Robinson1990c(1694449) 			111
179NC75	gp120 CD4BS		EB179		Freund2015(26516768) 	179NC75 binding-associated sites	L	120
17b	gp120 CD4i CoRBS (Cluster C)	1RZ8(antibody 17b);1YYL(CD4M33, a scorpion-toxin mimic of CD4, in complex with gp120 (YU2) and 17b);2I5Y(CD4M47, a scorpion-toxin mimic of CD4, in complex with gp120 (YU2) and 17b);1YYM(F23, a scorpion-toxin mimic of CD4, in complex with gp120 (YU2) and 17b);1GC1(gp120 core complexed with CD4 and 17b);1G9M(gp120 (HXB2) complexed with CD4 and 17b);1RZJ(gp120 (HXB2) complexed with CD4 and 17b);2NY1(gp120 (I109C, T257S, S334A, S375W, Q428C) complexed with CD4 and 17b);2NY3(gp120 (K231C, T257S, E267C, S334A, S375W) complexed with CD4 and 17b);2NY4(gp120 (K231C, T257S, E268C, S334A, S375W) complexed with CD4 and 17b);2NY6(gp120 (M95W, W96C, I109C, T123C, T257S, V275C,S334A, S375W, Q428C, G431C) complexed with CD4 and 17b);2NY5(gp120 (M95W, W96C, I109C, T257S, V275C, S334A, S375W, Q428C, A433M) complexed with CD4 and 17b);2NY0(gp120 (M95W, W96C, T257S, V275C, S334A, S375W, A433M) complexed with CD4 and 17b);2NXY(gp120 (S334A) complexed with CD4 and 17b);2NY2(gp120 (T123C, T257S, S334A, S375W, G431C) complexed with CD4 and 17b);2NXZ(gp120 (T257S, S334A, S375W) complexed with CD4 and 17b);1G9N(gp120 (YU2) complexed with CD4 and 17b);1RZK(gp120 (YU2) complexed with CD4 and 17b);4JM2(PGT 135 Fab in complex with gp120 core (JR-FL) bound to CD4 and 17b Fab);2I60([Phe23]M47, a scorpion-toxin mimic of CD4, in complex with gp120 (YU2) and 17b)	N70			17b contacts;Mutation affects binding to 17b and 412d;Mutation affects neutralization		247
1B2530	gp120 CD4BS	4YFL(1B2530 in complex with HIV-1 clade AE 93TH057 gp120)	Patient 1		Scheid2011(21764753) 	1B2530 contacts	L	227
1B5	gp120 V2-CD4BS				Strokappe2012(22438910) 			32
1C2	gp120 V2-CD4BS				Strokappe2012(22438910) 			26
1E1	gp120 V2-CD4BS				Strokappe2012(22438910) 			26
1E2	gp120 V2-CD4BS				Strokappe2012(22438910) 			26
1F10	gp120 V2-CD4BS				Strokappe2012(22438910) 			26
1F7	gp120 CD4BS				Buchacher1994(7520721) 			103
1H9	gp120 V2-CD4BS				Strokappe2012(22438910) 			26
1NC9	gp120 CD4BS		Patient 1		Scheid2011(21764753) 		L	16
2158	gp120 V2 // V2 glycan(V2g) // V2 apex	4OAW(Fab structure of V2 mAb 2158)						41
2191	gp120 V3 // V3 glycan (V3g)				Gorny2002(12186887) 			100
2219	gp120 V3 // V3 glycan (V3g)	2B0S(antibody 2219 in complex with three different V3 peptides);2B1A(Fab 2219 in complex with UG1033 peptide);2B1H(Fab 2219 in complex with UG29 peptide)			Gorny2002(12186887) 			100
2557	gp120 V3 // V3 glycan (V3g)	3MLV(Fab 2557 in complex with an NOF V3 peptide);3MLR(Fab 2557 in complex with a NY5 V3 peptide);3MLT(Fab 2557 in complex with a UG1033 V3 peptide);3MLU(Fab 2557 in complex with a ZAM18 V3 peptide);3MLS(FAb 2557 in complex with gp120 V3 mimotope)			Gorny2004(14963135) 		L	100
2558	gp120 V3 // V3 glycan (V3g)	3UJI(Fab 2558 in complex with MN peptide)			Gorny2004(14963135) 		L	100
2909	quaternary structure	3PIQ(2909 Fab)			Gorny2005(15795308) 			10
2D4	gp120 V2-CD4BS				Strokappe2012(22438910) 			26
2E7	gp120 V2-CD4BS				Strokappe2012(22438910) 			26
2F5	gp41 MPER (membrane proximal external region)	1TJG(2F5 complexed with gp41 7mer epitope);2F5B(2F5 complexed with gp41 epitope);2PR4(2F5 Fab);3BQU(2F5 Fab-3H6 Fab Complex);3MOD(2F5 Fab fragment with 11 aa gp41 MPER-derived peptide);3MOB(2F5 Fab fragment with 11 aa gp41 MPER-derived peptide);3MOA(2F5 Fab fragment with 17 aa gp41 MPER-derived peptide);3IDI(2F5 Fab fragment with gp41 Peptide ALDKWNQ);3IDM(2F5 Fab fragment with gp41 Peptide analog ELD(Nrg)WAS);3IDJ(2F5 Fab fragment with gp41 Peptide analog ELD(Orn)WAS);3IDN(2F5 Fab fragment with gp41 Peptide analog ELD(Paf)WAS);1TJH(2F5 with a gp41 11mer epitope);1TJI(2F5 with a gp41 17mer epitope);3LEV(2F5 with epitope scaffold ES2);3D0L(2F5 with gp41 FP-MPER Hyb3K construct);3DRQ(2F5 with gp41 FP-MPER Hyb3K construct soaked in PEG/2-propanol);1U8H(2F5 with gp41 Peptide ALDKWAS);3IDG(2F5 with gp41 Peptide ALDKWD);1U92(2F5 with gp41 Peptide Analog E-[Dap]-DKWQS (cyclic));1U91(2F5 with gp41 Peptide Analog ENDKW-[Dap]-S (cyclic));1U8P(2F5 with gp41 Peptide ECDKWCS);1U8O(2F5 with gp41 Peptide ELDKHAS);1U8J(2F5 with gp41 Peptide ELDKWAG);1U8I(2F5 with gp41 Peptide ELDKWAN);2PW2(2F5 with gp41 Peptide ELDKWKSL);2PW1(2F5 with gp41 Peptide ELDKWNSL);1U8Q(2F5 with gp41 Peptide ELEKWAS);3DRO(2F5 with gp41 peptide ELLELDKWASLWN);2P8L(2F5 with gp41 Peptide ELLELDKWASLWN);2P8M(2F5 with gp41 Peptide ELLELDKWASLWN in new crystal form);2P8P(2F5 with gp41 Peptide LELDKWASLW[N-Ac]);3D0V(2F5 with gp41 Peptide LLELDKWASLW);3DRT(2F5 with gp41 scrambledFP-MPER scrHyb3K construct);3EGS(2F5 with gp41 scrambledFP-MPER scrHyb3K construct soaked in ammonium sulfate);2F5A(Fab 2F5)		2F5	Buchacher1994(7520721) 	2F5 contacts;2F5 signature predictions (West2013);Mutation affects 2F5 binding	K	811
2G12	gp120 carbohydrates at glycosylation residues in C2, C3, C4, and V4;gp120 V3 // V3 glycan (V3g)	4RBP(2G12 in complex with a bacterial oligosaccharide analog of mammalian oligomanose);3OAU(2G12 Recognizes Di-Mannose);1OM3(Fab 2G12);1OP3(Fab 2G12 bound to disaccharide mannose);1OP5(Fab 2G12 bound to oligosaccharide mannose);1ZLS(Fab 2G12 + Man4);1ZLU(Fab 2G12 + Man5);1ZLV(Fab 2G12 + Man7);1ZLW(Fab 2G12 + Man8);2OQJ(Fab 2G12 with 21-mer peptide ligand);3OAZ(Mimic of the HIV glycan shield);3OB0(Mimic of the HIV glycan shield);3OAY(Mimic of the HIV glycan shield)		2G12	Buchacher1994(7520721) 	2G12 contacts;2G12 signature predictions (West2013);Mutation affects 2G12 binding	K	809
2N5			Donor N152	35O22	Huang2014(25186731) 		L	8
3019	gp120 V3 // V3 glycan (V3g)						L	21
3074	gp120 V3 // V3 glycan (V3g)	3MLX(Fab 3074 in complex with an MN V3 peptide);3MLY(Fab 3074 in complex with a UR29 V3 peptide);3MLZ(Fab 3074 in complex with a VI191 V3 peptide)			Gorny2006(16809292) 		L	272
35O22	gp41-gp41 interface	4TOY(35O22 Fab);6CH9(A natively-glycosylated B41 SOSIP.664 HIV-1 Envelope Trimer in complex with the broadly-neutralizing antibodies BG18 and 35O22);6CH8(A natively-glycosylated BG505 SOSIP.664 HIV-1 Envelope Trimer in complex with the broadly-neutralizing antibodies BG18 and 35O22);6CH7(A natively-glycosylated BG505 SOSIP.664 HIV-1 Envelope Trimer in complex with the broadly-neutralizing antibodies BG18 and 35O22);5FYL(Clade A BG505 SOSIP.664 Prefusion Env Trimer in Complex with PGT122 and 35O22);5FYJ(Clade G X1193.c1 SOSIP.664 Prefusion Env Trimer in Complex with PGT122, 35O22 and VRC01);4TVP(Env Trimer Ectodomain in Complex with Antibodies PGT122 and 35O22);5FYK(SOSIP.664 Prefusion Env Trimer in Complex with PGT122, 35O22 and VRC01)	Donor N152	35O22	Huang2014(25186731) 	35O22 contacts and mutagenesis;Sites affecting neutralization of 35O22	L	276
3694	gp120 V3 // V3 glycan (V3g)				Gorny2009(18952295) 		L	21
3791	gp120 V3 // V3 glycan (V3g)				Gorny2009(18952295) 		K	21
3869	gp120 V3 // V3 glycan (V3g)				Gorny2009(18952295) 		L	104
3881	gp120 V3 // V3 glycan (V3g)				Gorny2009(18952295) 		K	21
3904	gp120 V3 // V3 glycan (V3g)						K	21
3906	gp120 V3 // V3 glycan (V3g)				Gorny2009(18952295) 		L	21
3BC176	gp41-gp41 interface	5AWN(3BC176 Fab)	Patient 3		Klein2012(22826297) 	3BC176 and 3BC315 key sites	L	44
3BC315	gp41-gp41 interface	5CCK(3BC315 Fab)	Patient 3		Klein2012(22826297) 	3BC176 and 3BC315 key sites	L	37
3BNC117	gp120 CD4BS	4JPV(3BNC117 complexed with gp120);4LSV(3BNC117 complexed with gp120 (C1086))	Patient 3	3BNC117	Scheid2011(21764753) 	3BNC117 alanine scanning;3BNC117 contacts;3BNC117 signature predictions (West2013);Sites selected during 3BNC117 immunotherapy	K	497
3BNC117/10-1074	gp120 CD4BS;gp120 V3 // V3 glycan (V3g)		Donor 17,Patient 3		Bournazos2016(27315478) 			120
3BNC117/10-1074-IgG3C	gp120 CD4BS;gp120 V3 // V3 glycan (V3g)		Donor 17,Patient 3		Bournazos2016(27315478) 			120
3BNC117-IgG3C	gp120 CD4BS		Patient 3		Bournazos2016(27315478) 			119
3BNC117/PGT135-IgG3C	gp120 CD4BS;gp120 V3 // V3 glycan (V3g)		Donor 39,Patient 3		Bournazos2016(27315478) 			150
3BNC55	gp120 CD4BS		Patient 3	3BNC117	Scheid2011(21764753) 	3BNC55 signature predictions (West2013)	K	121
3BNC60	gp120 CD4BS	4GW4(3BNC60 Fab with P61A mutation);3RPI(Fab 3BNC60)	Patient 3	3BNC117	Scheid2011(21764753) 	3BNC60 contacts	K	45
3BNC62	gp120 CD4BS		Patient 3	3BNC117	Scheid2011(21764753) 		K	15
3E3	gp120 CD4BS				McCoy2014a(25522326) 			71
4022	gp120 V3 // V3 glycan (V3g)				Gorny2009(18952295) 		L	21
4025	gp120 V3 // V3 glycan (V3g)	3UJJ(Fab 4025 in complex with Con A)			Gorny2009(18952295) 		L	21
4121	gp120 V3 // V3 glycan (V3g)						L	21
4139	gp120 V3 // V3 glycan (V3g)				Andrabi2013(23466102) 		L	21
4210	gp120 V3 // V3 glycan (V3g)				Andrabi2013(23466102) 		L	21
447-52D	gp120 V3 // V3 glycan (V3g)	3C2A(447-52D in complex with UG1033 peptide);1Q1J(Fab 447-52D in complex with V3 peptide);3GHB(Fab 447-52D in complex with V3 peptide 92RW020);4M1D(Fab 447-52D with V3 cyclic peptide MN)			Buchbinder1992(1466965) 			294
4487	gp120 V3 // V3 glycan (V3g)				Andrabi2013(23466102) 		L	21
4490	gp120 V3 // V3 glycan (V3g)				Andrabi2013(23466102) 		L	21
4508	gp120 V3 // V3 glycan (V3g)				Andrabi2013(23466102) 		K	21
45-46m2	gp120 CD4BS	4JKP(45-46m2 complexed with gp120)	NIH45	VRC01 	Diskin2013(23712429) 	45-46m2 signature predictions (West2013)		134
45-46m25	gp120 CD4BS		NIH45	VRC01 	Diskin2013(23712429) 			134
45-46m28	gp120 CD4BS		NIH45	VRC01 	Diskin2013(23712429) 			134
45-46m7	gp120 CD4BS		NIH45	VRC01 	Diskin2013(23712429) 	45-46m7 signature predictions (West2013)		134
48d	gp120 CD4i	1RZ7(Human anti-HIV-1 GP120-reactive antibody 48d);4DVR(YU2 gp120 core in complex with Fab 48d and NBD-557)					K	208
4E10	gp41 MPER (membrane proximal external region)	4XCE(4E10 Fab crystalized in the presence of Phosphatidylcholine; C2 space group);4XCC(4E10 Fab crystalized in the presence of Phosphatidylcholine; I422 space group);4XBP(4E10 Fab crystalized in the presence of Phosphatidylethanolamine);4NHC(4E10 Fab fragment in complex with a hydrocarbon-stapled peptide containing the 4e10 epitope on gp41);4NGH(4E10 Fab fragment in complex with a hydrocarbon-stapled peptide containing the 4e10 epitope on gp41 and a tethered phosphate moiety);4XAW(4E10 Fab in complex with its peptide epitope on HIV-1 gp41: Crystals cryoprotected with phosphatidic acid);4XCF(4E10 Fab in complex with its peptide epitope on HIV-1 gp41; crystals cryoprotected with phosphatidylcholine);4XC3(4E10 Fab in complex with its peptide epitope on HIV-1 gp41; crystals cryoprotected with rac-glycerol 1-phosphate);4XC1(4E10 Fab in complex with its peptide epitope on HIV-1 GP41: crystals cryoprotected with sn-Glycerol 3-phosphate);4XBE(4E10 Fab in complex with its peptide epitope on HIV-1 gp41: crystals cryoprotected with sphingomyelin);4XBG(4E10 Fab in complex with phosphatidic acid: 2.73 A resolution);4XCN(4E10 Fab in complex with phosphatidic acid; 2.9 A resolution);4XCY(4E10 Fab in complex with phosphatidylglycerol);4ODX(4E10 germline encoded precursor no.7 in complex with epitope scaffold T117);3H3P(Epitope-scaffold 4E10 Fv complex);1TZG(Fab 4E10 complexed with gp41 13mer epitope);2FX8(Fab 4E10 complexed with gp41 Aib-induced peptide);2FX7(Fab 4E10 complexed with gp41 epitope);2FX9(Fab 4e10 with 4e10 epitope on gp41);5CIN(non-neutralizing version of 4E10 (DeltaLoop) with epitope bound);5CIL(non-neutralizing version of 4E10 (WDWD) with epitope bound);4M62(Ontogeny of recognition specificity and functionality for 4E10);4M8Q(Ontogeny of recognition specificity and functionality for 4E10);4LRN(Ontogeny of recognition specificity and functionality for 4E10);4OB5(Ontogeny of recognition specificity and functionality for 4E10);4WY7(recombinant 4E10 expressed in Escherichia coli with epitope bound);5CIP(Unbound 4E10);4LLV(Unbound form of 4E10 Fv)		4E10	Buchacher1994(7520721) 	4E10 contacts;4E10 signature predictions (West2013);Mutation affects 4E10 binding;Mutation affects neutralization	L	811
4O20			Donor N152	35O22	Huang2014(25186731) 		L	8
697-D	gp120 V2 // V2 glycan(V2g) // V2 apex	4D9L(Fab structure of V2 mAb 697)			Gorny1994(7525987) 			45
7B9			Donor N152	35O22	Huang2014(25186731) 		L	8
7H6			Donor N152	10E8	Huang2012a(23151583) 		L	22
7K3			Donor N152	35O22	Huang2014(25186731) 		L	8
830A	gp120 V2 // V2 glycan(V2g) // V2 apex	4YWG(830A in complex with V1V2)			Nyambi2000(10888650) 			41
8ANC131	gp120 CD4BS	4RWY(8ANC131 in complex with HIV-1 clade B YU2 gp120)	Patient 8		Scheid2011(21764753) 	8ANC131 contacts	K	186
8ANC134	gp120 CD4BS	4RX4(8ANC134 in complex with HIV-1 clade A Q842.d12 gp120)	Patient 8	8ANC131	Scheid2011(21764753) 	8ANC134 contacts	K	174
8ANC195	gp41-gp120 interface	4P9M(8ANC195 Fab);5CJX(8ANC195 Fab in complex with BG505 SOSIP.664 HIV-1 Env trimer);4P9H(8ANC195 Fab in complex with gp120 of 93TH057 HIV-1 and soluble CD4 D1D2);5VIY(BG505 SOSIP.664 in complex with antibodies BG1 and 8ANC195);5C7K(BG505 SOSIP gp140 HIV-1 Env trimer bound to broadly neutralizing antibodies PGT128 and 8ANC195);5A8H(cryo-ET subtomogram averaging of BG505 SOSIP.664 in complex with sCD4, 17b, and 8ANC195);5A7X(negative stain EM of BG505 SOSIP.664 in complex with sCD4, 17b, and 8ANC195)	Patient 8		Scheid2011(21764753) 	8ANC195 contacts;8ANC195 contacts;8ANC195 residue prediction;8ANC195 signature predictions (West2013)	K	265
8ANC195-IgG3C	gp41-gp120 interface				Bournazos2016(27315478) 			116
8ANC195/PGT128-IgG3C	gp120 V3 // V3 glycan (V3g);gp41-gp120 interface		Donor 36		Bournazos2016(27315478) 			116
A12	gp120 CD4BS				Forsman2008(18842738) 			73
A14	gp120 CD4BS				McCoy2014a(25522326) 			61
A16	gp120 CD4BS		F524		Qiao2016(27387828) 	A16 contacts		79
ACS202	fusion peptide // near gp41-gp120 interface	EMD-8299(AMC011 SOSIP trimer in complex with autologous antibody ACS202)	D12950		vanGils2016(27841852) 	Mutation affects ACS202 neutralization or binding	K	87
b12	gp120 CD4BS	1N0X(B12 complexed with mimotope);1HZH(B12 unliganded);3RU8(Fab b12 with epitope scaffold);2NY7(gp120 complexed with Fab b12)	Donor b	b12	Burton1991(1719545) 	b12 contacts;b12 signature sites;IGg1b12 signature predictions (West2013);Mutation affects neutralization;Mutation affects PGV04, b12, VRC01, CD4-IgG neutralization;Mutation decreases binding to CD4BS mAbs	K	879
b13	gp120 CD4BS	3IDX(gp120 core in complex with b13);3IDY(gp120 core in complex with b13)	Donor b		Burton1991(1719545) 			181
B21	gp120 CD4BS				McCoy2014a(25522326) 			61
B9	gp120 CD4BS				McCoy2014a(25522326) 			61
BF520.1	gp120 V3 // V3 glycan (V3g)		BF520		Simonich2016(27345369) 		K	34
BG1	gp120 V1-V2	5VIY(BG505 SOSIP.664 in complex with antibodies BG1 and 8ANC195)	EB354		Freund2017(28100831) 		K	119
BG18	gp120 V3 // V3 glycan (V3g)	6CH9(A natively-glycosylated B41 SOSIP.664 HIV-1 Envelope Trimer in complex with the broadly-neutralizing antibodies BG18 and 35O22);6CH8(A natively-glycosylated BG505 SOSIP.664 HIV-1 Envelope Trimer in complex with the broadly-neutralizing antibodies BG18 and 35O22);6CH7(A natively-glycosylated BG505 SOSIP.664 HIV-1 Envelope Trimer in complex with the broadly-neutralizing antibodies BG18 and 35O22);6CHB(A natively-glycosylated BG505 SOSIP.664 HIV-1 Envelope Trimer in complex with the broadly-neutralizing antibodies BG18 and IOMA)	EB354	BG18	Freund2017(28100831) 	BG18 contacts	L	119
BG8	gp120 V3 // V3 glycan (V3g)		EB354	BG18	Freund2017(28100831) 		L	117
BiIA-DG	gp120 CD4BS;gp120 V3 // V3 glycan (V3g)				Wu2018(29461979) 			40
BiIA-SG	gp120 CD4BS;gp120 V3 // V3 glycan (V3g)				Wu2018(29461979) 			88
Bi-NAb	gp120 CD4BS;gp120 V3 // V3 glycan (V3g)		Donor 17,NIH45		Steinhardt2018(29491415) 			208
Bi-ScFv	gp120 CD4BS;gp120 V3 // V3 glycan (V3g)		Donor 17,NIH45		Steinhardt2018(29491415) 			208
C8	gp120 CD4BS				Forsman2008(18842738) 			67
CAP257-RH1	gp120 CD4BS	5T33(CAP257-RH1 in complex with strain RHPA gp120 core with an oligomannose N276 glycan)	CAP257		Wibmer2016(27581986) 		L	196
CD4-Ig								238
CH01	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		CH0219	CH01	Bonsignori2011(21795340) 	Mutation affects neutralization by V1V2 glycan mAbs;Mutation affects PG9-like Ab sensitivity;PG9-like antibodies require N160 for neutralization;PG9-like contacts	K	243
CH02	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		CH0219	CH01	Bonsignori2011(21795340) 	Mutation affects PG9-like Ab sensitivity;PG9-like contacts	K	143
CH03	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure	5ESV(CH03 in Complex with Scaffolded Trimeric HIV-1 Env V1V2 Domain from Clade C Superinfecting Strain of Donor CAP256)	CH0219	CH01	Bonsignori2011(21795340) 	Mutation affects PG9-like Ab sensitivity;PG9-like contacts	K	90
CH04	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure	3TCL(Antibody CH04);5ESZ(CH04 in Complex with Scaffolded Trimeric HIV-1 Env V1V2 Domain from the Clade AE Strain A244)	CH0219	CH01	Bonsignori2011(21795340) 	Mutation affects PG9-like Ab sensitivity;PG9-like contacts	K	155
CH103	gp120 CD4BS	4JAM(antibody CH103);4JAN(CH103 in complex with HIV-1 gp120)	Donor CH505	CH103	Liao2013(23552890) 	Antibody-driven selection in donor CH505;CH103 and CH235 evolution;CH103 contacts & bonding	L	242
CH104	gp120 CD4BS		Donor CH505	CH103	Liao2013(23552890) 		L	7
CH105	gp120 CD4BS		Donor CH505	CH103	Liao2013(23552890) 		L	7
CH106	gp120 CD4BS		Donor CH505	CH103	Liao2013(23552890) 		L	13
CH12	gp41 MPER (membrane proximal external region)		CAP206		Morris2011(21980336) 		L	29
CH13	gp120 CD4BS		CH0457	CH13	Moody2015(26355218) 	Mutation decreases binding to CD4BS mAbs		37
CH14	gp120 V3 // V3 glycan (V3g)		CH0457		Moody2015(26355218) 			52
CH16	gp120 CD4BS		CH0457	CH13	Moody2015(26355218) 			48
CH17	gp120 CD4BS		CH0457	CH13	Moody2015(26355218) 			48
CH18	gp120 CD4BS		CH0457	CH13	Moody2015(26355218) 			48
